player,def_impact,stature__height_inches,stature__weight_lbs,stature__wingspan_in,ath__player_id,ath__athleticism_score,shot__player_id,shot__total_fga,shot__freq_rim,shot__freq_paint,shot__freq_mid,shot__freq_corner3,shot__freq_atb3,shot__freq_three,shot__freq_rim_plus_paint,shot__rim_fg_pct,shot__mid_fg_pct,shot__corner3_pct,shot__atb3_pct,port__portability_score,port__age,port__mp,pass__team,pass__minutes,pass__passer_rating,pass__passing_score,usage__mp,usage__usg_pct,usage__offensive_load,usage__box_creation,usage__creation_score,stature__player_name,ath__player_name,ath__athleticism_source,ath__position,shot__player_name,shot__team,port__position,port__portability_source,pass__player_name,usage__player_name,usage__team,usage__pos
101108,,,,,,,101108.0,583.0,0.0291595197255574,0.111492281303602,0.2229845626072041,0.0840480274442538,0.548885077186964,0.6329331046312179,0.1406518010291595,0.8235294117647058,0.4692307692307692,0.3469387755102041,0.384375,9.4,40.0,2292.0,,,,,,,,,,,,,,Chris Paul,SAS,G,provided_list,,,,
1626145,,,,,,,1626145.0,683.0,0.0834553440702781,0.2445095168374817,0.0849194729136164,0.2181551976573938,0.3689604685212299,0.5871156661786238,0.3279648609077599,0.7543859649122807,0.396551724137931,0.4765100671140939,0.376984126984127,8.2,29.0,2174.0,,,,,,,,,,,,,,Tyus Jones,PHX,G,provided_list,,,,
1626153,,,,,,,1626153.0,131.0,0.2748091603053435,0.1450381679389313,0.0229007633587786,0.1603053435114503,0.3969465648854962,0.5572519083969466,0.4198473282442748,0.5555555555555556,0.6666666666666666,0.4285714285714285,0.2115384615384615,2.7,33.0,635.0,,,,,,,,,,,,,,Delon Wright,NYK,G,provided_list,,,,
1626156,,,,,,,1626156.0,638.0,0.1316614420062695,0.2163009404388714,0.0877742946708464,0.0517241379310344,0.5094043887147336,0.5611285266457681,0.347962382445141,0.6190476190476191,0.3392857142857143,0.2727272727272727,0.32,6.3,29.0,1480.0,,,,,,,,,,,,,,D'Angelo Russell,BKN,G,provided_list,,,,
1626157,,,,,,,1626157.0,1215.0,0.4230452674897119,0.2148148148148148,0.0839506172839506,0.0181069958847736,0.2600823045267489,0.2781893004115226,0.6378600823045267,0.669260700389105,0.3431372549019608,0.3181818181818182,0.4272151898734177,8.4,30.0,2517.0,,,,,,,,,,,,,,Karl-Anthony Towns,NYK,C-F,provided_list,,,,
1626158,,,,,,,1626158.0,139.0,0.7050359712230215,0.2589928057553957,0.014388489208633,0.014388489208633,0.0071942446043165,0.0215827338129496,0.9640287769784172,0.7448979591836735,0.0,0.0,0.0,6.4,32.0,534.0,,,,,,,,,,,,,,Richaun Holmes,WAS,F,provided_list,,,,
1626162,,,,,,,1626162.0,741.0,0.3913630229419703,0.2469635627530364,0.0350877192982456,0.1147098515519568,0.2118758434547908,0.3265856950067476,0.6383265856950068,0.6655172413793103,0.3846153846153846,0.3529411764705882,0.2611464968152866,0.7,30.0,2078.0,,,,,,,,,,,,,,Kelly Oubre Jr.,PHI,F-G,provided_list,,,,
1626164,,,,,,,1626164.0,1420.0,0.1422535211267605,0.2408450704225352,0.2288732394366197,0.0528169014084507,0.3352112676056338,0.3880281690140845,0.3830985915492957,0.6881188118811881,0.5169230769230769,0.3466666666666667,0.3298319327731092,6.0,29.0,2795.0,,,,,,,,,,,,,,Devin Booker,PHX,G,provided_list,,,,
1626166,,,,,,,1626166.0,446.0,0.1704035874439461,0.1928251121076233,0.0627802690582959,0.0627802690582959,0.5112107623318386,0.5739910313901345,0.3632286995515695,0.4736842105263157,0.3214285714285714,0.3214285714285714,0.3684210526315789,7.5,31.0,1090.0,,,,,,,,,,,,,,Cameron Payne,NYK,G,provided_list,,,,
1626167,,,,,,,1626167.0,811.0,0.2305795314426633,0.1935881627620222,0.0900123304562268,0.0690505548705302,0.4167694204685573,0.4858199753390875,0.4241676942046856,0.6951871657754011,0.547945205479452,0.5,0.378698224852071,6.7,29.0,2174.0,,,,,,,,,,,,,,Myles Turner,IND,C-F,provided_list,,,,
1626168,,,,,,,1626168.0,374.0,0.2379679144385026,0.088235294117647,0.0374331550802139,0.2005347593582887,0.4358288770053476,0.6363636363636364,0.3262032085561497,0.6404494382022472,0.6428571428571429,0.3733333333333333,0.3251533742331288,5.9,30.0,1349.0,,,,,,,,,,,,,,Trey Lyles,SAC,F,provided_list,,,,
1626171,,,,,,,1626171.0,595.0,0.215126050420168,0.2,0.2857142857142857,0.080672268907563,0.2184873949579832,0.2991596638655462,0.4151260504201681,0.65625,0.4176470588235294,0.4375,0.3384615384615385,6.5,30.0,1244.0,,,,,,,,,,,,,,Bobby Portis,MIL,F,provided_list,,,,
1626172,,,,,,,1626172.0,278.0,0.6690647482014388,0.2122302158273381,0.1007194244604316,0.0071942446043165,0.0071942446043165,0.014388489208633,0.8812949640287769,0.6397849462365591,0.1785714285714285,1.0,0.0,3.4,29.0,1142.0,,,,,,,,,,,,,,Kevon Looney,GSW,F,provided_list,,,,
